vid	title	original tags	predict topics
6689731591625580544	芒果夏洛特蛋糕,夏日芒果系列,#142【明聪Leo】	['夏洛特', '芒果蛋糕', '手指餅乾', '芒果夏洛特蛋糕']	['烘焙', '美食教程', '甜品', '创意料理', '厨具']
6701324239964540928	陨石群轰击地球，穹顶之下人们安然无恙，外星人的庇护？科幻悬疑剧《穹顶之下》S3-7剧情详解	['电视剧解说', '科幻', '悬疑', '经典美剧', '穹顶之下', '全能打卡挑战', '神奇作品挖掘挑战']	['影视解说', '影评', '美剧', '大陆电影', '剪辑片段']
6704568093077475328	奥冈电気工事　株式会社	['奥岡電気', '三重', 'いなべ', '配電線', '一般電気', '非鉄金属加工', '未経験', '求人', '高所作業']	['公务员', '柔道', '建筑', '自行车', '装修']
6674872586646392832	【人生资本论】贸易战没有打垮日本，是什么导致其经济泡沫破裂？	['视知', '脑洞电影院', '视知百科', '视知车学院', '人生资本论', '女子力科学社', '本格男士', '喵客帝国', '次元光线', '视知资本论', '视知医学说', 'cos不累嘟昂', '脑子有洞']	['台球', '泰国行', '玉石', '法语', '古董']
6702215379639144448	百里玄策,王者荣耀,实战,|,荣耀局96星排位赛,|,百里玄策乱杀一切！！［草莓］|,Honor,Of,Kings,Gameplay	['百里玄策', '王者荣耀', '王者荣耀 百里玄策', '百里玄策 王者荣耀', '百里玄策 王者荣耀 实战', '百里玄策实战', '百里玄策 实战', '王者荣耀 百里玄策 实战', '国服百里玄策', '国服百里玄策出装', '国服百里玄策铭文', '百里玄策怎么玩', '排位赛百里玄策', '排位赛百里玄策怎么玩', '王者局百里玄策怎么玩', '王者局百里玄策', '荣耀局百里玄策', '荣耀局百里玄策怎么玩', '玄策', '国服玄策']	['游戏解说', '手游', '历史故事', '游戏集锦', '游戏点评']
6704478296736600064	日本人・中国人・韩国人の彼女【交际経験から语る】	['中国人彼女', '恋人', '韓国人', '違い', '中国語']	['韩语', '日语', '韩国行', '海外生活', '汉语']
6704441291713613824	ソフトテニス能力开発メニュー	['ソフトテニス', '練習メニュー', 'ボレー', 'テニス', '前衛']	['柔道', '书法', '武术', '军情', '中国象棋']
6704340077583867904	用中文学习葡萄牙语,-,数字,Um,,Dois,,Três!,Learning,Portuguese,in,Chinese	['numbers', 'portuguese', 'counting', 'mandarin', 'learning portuguese', 'macau', 'italki', 'funny', 'european portuguese', 'polyglot', '葡萄牙语', '学习语言']	['汉语', '早教', 'K12', '英语', '日语']
6704444607537422336	大人かわいいマッシュショートボブ＃morio矢木#how,to,cut#ショート#ショートボブ#髪型	['ショート', 'ショートヘア', 'ショートボブ', 'マッシュショート', '髪型', 'ヘアスタイル', '美容室', '原宿', '表参道', '札幌', 'カット', '黒髪', '黒髪ショート', '前髪', 'how to cut', 'hair', '大人かわいいヘアスタイル']	['柔道', '医美', '书法', '牙科', '日本娱乐']
6704410966790836224	【捕球から送球どっちが速い？】源田壮亮选手vs守备最强助っ人クルーズ选手,セカンド送球比较！	['源田', '源田壮亮', '源田たまらん', 'ルイスクルーズ', 'クルーズ']	['棒球', '柔道', '相扑', '高尔夫球', '中国象棋']
